کد ملک,تاریخ اپلود,نوع ملک,آدرس,نوع معامله,قیمت واحد,قیمت کل,طبقه,خواب,زیربنا,تلفن,آشپزخانه,سرویس,کفپوش
3428004,1403/05/13,تجاری,ونك بالاتراز میدان شیخ بهائی,خرید,"329,000,000","52,000,000,000",3,0,112,1,نا مشخص,ايرانی,موزائيک
10260539,1403/05/13,آپارتمان,زعفرانیه خ پسیان,خرید,"193,540,000","18,000,000,000",1,1,93,1,MDF,ايراني فرنگي,سراميک
10354249,1403/05/13,آپارتمان,شمس اباد بلوار بیژن,خرید,"109,574,468","10,300,000,000",3,2,94,,MDF,ايراني فرنگي,سراميک
10354247,1403/05/13,آپارتمان,میرداماد خ شمس تبریزی,خرید,"167,452,000","35,500,000,000",3,4,212,1,MDF,ايراني فرنگي,سنگ
10163894,1403/05/13,مغازه,دربند نرسیده به میدان سربند,خرید,"543,209,000","22,000,000,000",3,0,33,1,نا مشخص,نامشخص,سراميک
10241254,1403/05/13,مغازه,فاطمی نرسیده به پارك لاله,خرید,"600,000,000","13,500,000,000",3,0,20,0,نا مشخص,نامشخص,سنگ
2020745,1403/05/13,مغازه,اقدسیه خ فیروزبخش,خرید,"421,052,000","8,000,000,000",3,0,19,1,نا مشخص,ايرانی,سنگ
10354246,1403/05/13,اداری,پاسداران شمالی خ نارنجستان,خرید,"157,894,000","12,000,000,000",1,2,76,1,آبدارخانه,ايرانی,سراميک
10269588,1403/05/13,اداری,تجریش بعد از سینما آستارا,خرید,"150,000,000","6,450,000,000",2,1,43,1,آبدارخانه,ايرانی,سنگ
10354243,1403/05/13,آپارتمان,تجریش بالاتراز خ غلام جعفری,خرید,"205,128,000","24,000,000,000",1,2,117,1,MDF,ايراني فرنگي,سراميک
10354242,1403/05/13,آپارتمان,شهرك اكباتان فاز 2,خرید,"103,300,000","12,500,000,000",4,2,121,1,هایگلاس,ايراني فرنگي,سنگ
10347037,1403/05/13,آپارتمان,ازگل اراج خ ولیعصر,خرید,"88,414,000","14,500,000,000",4,4,164,1,MDF,ايرانی,سنگ
10188346,1403/05/13,اداری,قیطریه چیذر میدان ندا,خرید,"116,666,000","10,500,000,000",4,2,90,2,آبدارخانه,ايراني فرنگي,سراميک
10129649,1403/05/13,تجاری,شریعتی نرسیده به حسینیه ارشاد,خرید,"267,857,000","30,000,000,000",4,0,112,1,نا مشخص,ايرانی,سراميک
10265899,1403/05/13,اداری,قیطریه بلوار صبا,خرید,"160,000,000","12,320,000,000",1,2,77,1,آبدارخانه,ايراني فرنگي,سراميک
3079595,1403/05/13,کلنگی,الهیه پل رومی خ رضایی,خرید,"319,148,000","600,000,000,000",1,0,1100,0,نا مشخص,نامشخص,نا مشخص
2802447,1403/05/13,آپارتمان,فرشته خ تختی,خرید,"168,224,000","18,000,000,000",1,3,107,1,MDF,ايراني فرنگي,سراميک
3906503,1403/05/13,تجاری,بزرگراه ارتش مجتمع آتی ساز 2,خرید,"402,173,000","74,000,000,000",1,1,119,2,آبدارخانه,ايرانی,گرانيت
10151063,1403/05/13,آپارتمان,تهرانپارس خ رشید,خرید,"159,090,000","14,000,000,000",1,2,88,2,MDF,ايراني فرنگي,سنگ
10253631,1403/05/13,آپارتمان,بلوارمرزداران خ ابوالفضل خ ردایی,خرید,"108,000,000","9,180,000,000",2,2,85,1,MDF,ايرانی,سراميک
10149080,1403/05/13,مستغلات,نظام آباد خ مدنی جنوبی,خرید,"120,000,000","16,920,000,000",2,3,160,1,فلزي,ايرانی,موزائيک
10126380,1403/05/13,اداری,نامجو نرسیده به ك مفید,خرید,"80,882,000","5,500,000,000",2,2,68,3,MDF,ايرانی,سنگ
2478417,1403/05/13,مغازه,بزرگراه رسالت نرسیده به خ منصوری,خرید,"700,000,000","16,100,000,000",2,0,23,1,نا مشخص,نامشخص,سنگ
10052107,1403/05/13,مغازه,مجیدیه جنوبی خ همایی,خرید,"250,000,000","17,250,000,000",2,0,69,1,نا مشخص,نامشخص,سنگ
10300629,1403/05/13,مغازه,شمس آباد بلوار بیژن,خرید,"400,000,000","22,400,000,000",2,0,56,1,نا مشخص,ايرانی,سنگ
10300713,1403/05/13,مستغلات,شمس آباد شهید كرد,خرید,"210,000,000","51,660,000,000",2,3,240,1,MDF,ايرانی,سراميک
10256107,1403/05/13,کلنگی,بنی هاشم خ شجاعیان,خرید,"208,333,000","25,000,000,000",2,0,240,0,نا مشخص,نامشخص,نا مشخص
10300474,1403/05/13,آپارتمان,تجریش نرسیده به خ فنا خسرو,خرید,"334,710,000","40,500,000,000",1,2,121,1,MDF,ايرانی,سراميک
10300549,1403/05/13,آپارتمان,دزاشیب خ كریمی,خرید,"163,265,000","40,000,000,000",5,4,245,1,MDF,ايراني فرنگي,سراميک
10300463,1403/05/13,آپارتمان,قائم مقام نرسیده به خ چهارم,خرید,"90,000,000","15,660,000,000",3,3,174,2,MDF,ايراني فرنگي,سراميک
10332532,1403/05/13,آپارتمان,بلوار فردوس غرب سازمان برنامه,خرید,"110,000,000","10,010,000,000",3,2,91,1,MDF,ايراني فرنگي,سراميک
3166237,1403/05/13,مغازه,شهرك غرب بلوار فرحزادی,خرید,"1,100,000,000","22,000,000,000",4,0,20,1,نا مشخص,نامشخص,سراميک
10300523,1403/05/13,آپارتمان,فرمانیه خ وطن پور شمالی,خرید,"250,000,000","70,000,000,000",2,4,280,1,فرنيش,ايراني فرنگي,سنگ
3841033,1403/05/13,مغازه,سعادت آباد میدان كتاب,خرید,"1,500,000,000","27,000,000,000",5,0,18,1,نا مشخص,نامشخص,سنگ
10354236,1403/05/13,آپارتمان,شمس اباد میدان بهشتی,خرید,"120,000,000","14,640,000,000",2,3,122,0,MDF,ايراني فرنگي,سنگ
3287110,1403/05/13,تجاری,شهرك غرب بلوار دریا,خرید,"2,300,000,000","331,200,000,000",2,0,144,4,آبدارخانه,ايرانی,سراميک
10265864,1403/05/13,آپارتمان,شهرزیبا نرسیده به خ مرادی,خرید,"120,000,000","9,000,000,000",4,2,75,1,دلخواه,ايراني فرنگي,سراميک
10300105,1403/05/13,آپارتمان,قیطریه بلوار صبا,خرید,"205,357,000","11,500,000,000",4,1,56,1,MDF,ايرانی,سراميک
10354235,1403/05/13,آپارتمان,كوی فراز خ بیدار غربی,خرید,"182,835,000","24,500,000,000",2,3,134,1,MDF,ايراني فرنگي,سنگ
10300448,1403/05/13,آپارتمان,آیت الله كاشانی خ الهی,خرید,"127,500,000","10,200,000,000",1,2,80,1,MDF,ايراني فرنگي,سراميک
10183915,1403/05/13,آپارتمان,سعادت آباد بالاتر از میدان بهرود,خرید,"130,000,000","16,380,000,000",14,2,126,1,MDF,ايراني فرنگي,سنگ
10079120,1403/05/13,آپارتمان,سئول شهرك فجر,خرید,"130,000,000","14,820,000,000",1,2,114,1,MDF,ايرانی,سراميک
3369796,1403/05/13,تجاری,ونك بالاتر از میدان ونك,خرید,"400,000,000","111,200,000,000",1,0,270,1,نا مشخص,نامشخص,سراميک
3965589,1403/05/13,تجاری,سعادت آباد میدان بهرود,خرید,"400,000,000","160,000,000,000",1,4,400,1,آبدارخانه,ايرانی,سنگ
10124375,1403/05/13,آپارتمان,قیطریه بلوار صبا,خرید,"182,692,000","9,500,000,000",5,1,52,1,هایگلاس,ايراني فرنگي,پارکت
10354232,1403/05/13,آپارتمان,فرمانیه بلواراندرزگو,خرید,"205,128,000","16,000,000,000",5,2,78,1,MDF,ايراني فرنگي,سنگ
10300879,1403/05/13,آپارتمان,گلبرگ غربی بالاتراز میدان امام رضا,خرید,"90,000,000","7,200,000,000",5,2,80,1,MDF,ايراني فرنگي,سراميک
10300499,1403/05/13,آپارتمان,نارمك میدان 16,خرید,"150,000,000","10,500,000,000",3,2,70,1,MDF,ايرانی,سراميک
10300497,1403/05/13,آپارتمان,نارمك چهارراه تلفنخانه,خرید,"81,810,000","4,500,000,000",1,1,55,1,MDF,ايرانی,سراميک
10300492,1403/05/13,آپارتمان,وحیدیه میدان تسلیحات,خرید,"71,428,000","4,500,000,000",4,2,63,1,MDF,ايرانی,سراميک
10300488,1403/05/13,آپارتمان,نارمك خ ثانی غربی,خرید,"83,330,000","5,000,000,000",5,1,60,1,MDF,ايراني فرنگي,سراميک
10267968,1403/05/13,آپارتمان,نارمك خ سمنگان,خرید,"69,148,000","3,250,000,000",5,1,47,1,MDF,ايرانی,سراميک
10245475,1403/05/13,آپارتمان,نارمك خ سمنگان,خرید,"128,570,000","13,500,000,000",2,2,105,1,چوبي,ايراني فرنگي,سراميک
10354230,1403/05/13,آپارتمان,شهرزیبا بلوار تعاون خ شربیانی غربی,خرید,"105,000,000","13,020,000,000",7,2,124,1,MDF,ايراني فرنگي,سراميک
10300860,1403/05/13,آپارتمان,جشنواره خ سیری,خرید,"69,000,000","3,795,000,000",4,1,55,1,MDF,ايرانی,سراميک
10300933,1403/05/13,آپارتمان,تهرانپارس بلوار پروین خ 186,خرید,"75,000,000","6,000,000,000",3,2,80,1,MDF,ايراني فرنگي,سنگ
10300632,1403/05/13,آپارتمان,تهرانپارس خ 162,خرید,"116,666,000","7,700,000,000",1,2,66,1,MDF,ايراني فرنگي,سراميک
10300692,1403/05/13,آپارتمان,جشنواره خ امین خ زمرد,خرید,"50,793,000","3,200,000,000",1,1,63,1,MDF,ايرانی,سراميک
